ID,Stream Reach or Site,Basin,Description,Designation
10,Enoree River,Broad,"Mainstem, near confluence with Broad","SCE&G Recommended, SW Assessments, Flood Forecasting"
34,Rocky Branch,Broad,Tributary to Bullock Creek,"Flood Frequency, USGS recommended"
61,Little River,Broad,Tributary to Broad River,SW Assessments
62,Duncan Creek,Broad,Tributary to Enoree River,SW Assessments
75,Broad River,Broad,"Mainstem, above Parr Reservoir",SW Assessments
1,Big Pine Tree Creek,Catawba,Tributary to Catawba,"SW Assessments, DNR Fisheries, Lack of gages in middle basin"
2,Twentyfivemile Creek,Catawba,Tributary to Catawba,"SW Assessments, Lack of gages in middle basin"
30,Wateree River,Catawba,"Mainstem, US 378","SW Assessments, DOT, Flood Forecasting"
3,South Fork Edisto Headwaters,Edisto,Mainstem or Beech Creek,"WU/Regulation, SW Assessments, DNR Fisheries"
4,Black Creek,Edisto,Tributary to Upper North Fork Edisto,"WU/Regulation, SW Assessments, DNR Fisheries"
5,North Fork Edisto Headwaters,Edisto,"Mainstem, Chinquapin Creek or Lightwood Knot Creek","WU/Regulation, SW Assessments"
6,Four Hole Swamp,Edisto,"Tributary to Edisto, I-95","SW Assessments, DNR Fisheries, DOT, Flood Frequency/Forecasting"
7,Shaw Creek,Edisto,Tributary to South Fork Edisto,"WU/Regulation, SW Assessments"
24,Edisto River,Edisto,"Mainstem or South Edisto River, Coastal",Coastal Studies
35,Edisto River,Edisto,"Mainstem, US 17","DOT, Forecasting"
36,Edisto River,Edisto,"Mainstem, I-95","DOT,  Forecasting"
58,Four Hole Swamp,Edisto,Lower part of basin near Edisto confluence,"DOT, Flood Frequency/Forecasting, SW Assessments"
67,North Fork Edisto River,Edisto,"Mainstem, Hwy 321 or Slab Landing Rd",Flood Forecasting
68,North Fork Edisto River,Edisto,"Mainstem, near confluence with South Fork Edisto",Flood Forecasting
8,Green Swamp,Pee Dee,Tributary to Pocotaligo River,"Flood Frequency, USGS recommended"
9,Jeffries Creek,Pee Dee,Tributary to Pee Dee,"Flood Frequency, USGS recommended"
11,Swift Creek,Pee Dee,Tributary to Black Creek,"Flood Frequency, USGS recommended"
12,Thompson Creek,Pee Dee,Tributary to Pee Dee,"SW Assessments, major tributary to Pee Dee River"
13,Black River,Pee Dee,"Mainstem, SC 41","DOT, Flood Forecasting"
25,Pee Dee River,Pee Dee,Below Lynches River Confluence,SW Assessments
31,Lynches River,Pee Dee,Upper Lynches Mainstem,SW Assessments
32,Pee Dee River,Pee Dee,Mainstem near NC-SC border,SW Assessments
33,Sampit River,Pee Dee,Coastal,"WU/Regulation, Coastal Studies"
37,Pee Dee River,Pee Dee,"Mainstem, I-95","DOT, Forecasting"
38,Pee Dee/Waccamaw,Pee Dee,US 17,"DOT, Forecasting"
39,Lynches River,Pee Dee,"Mainstem, I-95","DOT, Forecasting"
40,Lynches River,Pee Dee,"Mainstem, SC 41/51","DOT, Forecasting"
41,Black River,Pee Dee,"Mainstem, SC 51","DOT, Forecasting"
42,Black River,Pee Dee,"Mainstem, US 701","DOT, Flood Forecasting, Coastal Studies"
43,Lumber River,Pee Dee,"Mainstem, SC 9/US 76","DOT, Flood Forecasting, SW Assessments"
44,Little Pee Dee River,Pee Dee,"Mainstem, US 378","DOT, Flood Frequency/Forecasting"
